A_index	A_blockID	score	A_text	B_text
1	I-0	0.70	༄༅། །བཅོམ་ལྡན་འདས་ཤཱཀྱའི་རྒྱལ་པོ་ལ་གསོལ་བ་འདེབས་པའི་ཚིགས་སུ་བཅད་པ་བཅོ་ལྔ་པ།	༄༅། །ཤཱཀྱའི་རྒྱལ་པོ་ལ་གསོལ་བ་འདེབས་པ་བཞུགས་སོ། །
99	1-1	0.36	ན་མོ་གུ་རུ་ཨཱརྻ་ཏཱ་རེ་ཡེ།	ཙིཏྟཾ་ཤྲཱི་ཡཿ ཀུ་རུ་ཧཱུྂ།
102		0.46	ཡུམ་གྱུར་སྒྲོལ་མ་ལ་བཏུད་ནས། །	མཁན་པོ་འགྱུར་་མེད་རྡོ་རྗེ་ནས་བསྒྱུར།
105	1-4	0.66	དང་པོ་ནི། རྗེ་བཙུན་སྒྲོལ་མའི་སྐུ་བརྙན་བྲིས་འབུར་སོགས་དཀོན་མཆོག་གི་རྟེན་གང་འཛོམ་གྱི་མདུན་དུ། སྟེགས་བུ་གཙང་མར་ཆུ་གཉིས་ཉེར་སྤྱོད། དཀར་ཟླུམ། བསང་ཆུ། མཆོད་པའི་མཎྜལ། འཐོར་ནས་སོགས་འདུ་བྱ། འགྲུབ་ན་ཁྲུས་དང་གཙང་སྦྲའི་ཀུན་སྤྱོད་བྱ་ཞིང་། མི་ལྕོགས་ན་ཤ་ཆང་མ་འཐུང་བའི་སྔ་དྲོའི་ཆ་ལྟ་བུར་སྲིད་ལས་ངེས་འབྱུང་དང་། བྱང་ཆུབ་སེམས་ཀྱི་ཀུན་སློང་དང་ལྡན་པས་སྐྱབས་སེམས་ནི།	ན་མོ་གུ་རུ་ཨཱརྻཱ་ཏཱ་རཱ་ཡེ། དུས་གསུམ་འདྲེན་པ་སྲས་བཅས་ལས། །ཐུགས་བསྐྱེད་ཕྲིན་ལས་ཕུལ་བྱུང་བ། །ཡུམ་གྱུར་སྒྲོལ་མ་ལ་བཏུད་ནས། །བྱ་སྤྱོད་དང་མཐུན་ཉམས་ལེན་བཤད། །དེའང་ཟབ་ཏིག་འདི་ཉམས་ལེན་ཡང་ཟབ་སྙིང་པོ་བསྡུས་པ་ཡིན་པས་སྤྲོས་བཅས་མང་དུ་མི་དགོས་ཀྱང་། ཅུང་ཟད་སྤྲོས་པ་དང་། རྒྱུན་ཁྱེར་དུ་བྱ་བ་སྟེ་རྒྱས་བསྡུས་གཉིས་ལས། དང་པོ་ནི། རྗེ་བཙུན་སྒྲོལ་མའི་སྐུ་བརྙན་བྲིས་འབུར་སོགས་དཀོན་མཆོག་གི་རྟེན་གང་འཛོམ་གྱི་མདུན་ཏུ། སྟེགས་བུ་གཙང་མར་ཆུ་གཉིས་ཉེར་སྤྱོད། དཀར་ཟླུམ། བསང་ཆུ། མཆོད་པའི་མཎྜལ། འཐོར་ནས་སོགས་འདུ་བྱ། འགྲུབ་ན་ཁྲུས་དང་གཙང་སྦྲའི་ཀུན་སྤྱོད་དང་ལྡན་པ་བྱ་ཞིང་། མི་ལྕོགས་ན་ཤ་ཆང་མ་འབགས་པའི་སྔ་དྲོའི་ཆ་ལྟ་བུར་སྲིད་ལས་ངེས་པར་འབྱུང་བ་དང་བྱང་ཆུབ་སེམས་ཀྱི་ཀུན་སློང་དང་ལྡན་པས་སྐྱབས་སེམས་ནི།
143	1-18	0.40	ཞེས་བསང་སྦྱང་།	སརྦ་ཀརྨ་སུ་ཙ་མེ།
207		0.38	ཨོཾ་ཨཱཿཧཱུྃ༔ བདག་དང་མཐའ་ཡས་སེམས་ཅན་གྱི༔	ཨོཾ་ཨཱཿ ཧཱུྂཿ
265	1-60	0.63	ཞེས་མཎྜལ་བྱེ་བྲག་ཏུ་ཕུལ་ནས། བསྟོད་པའི་རྒྱལ་པོའི་རྒྱུད་འདོན།	ཞེས་མཎྜལ་བྱེ་བྲག་ཏུ་ཕུལ་ནས།
357	1-85	0.70	ཚར་གཉིས་བརྗོད།	བར་ཚར་གཉིས་བརྗོད། སླར་ཡང་།
358	1-86	0.37	སླར་ཡང།	སརྦ་སིདྡྷིམེ་པྲ་ཡཙྪ།
363	1-88	0.48	ཨོཾ་ཨཱརྻ་ཏཱ་རེ་ས་པ་རི་ཝཱ་ར་བཛྲ་ཨརྒྷཾ། པཱདྱཱཾ། པུཥྤེ། དྷུ་པེ། ཨ་ལོ་ཀེ། གནྡྷེ། ནཻ་ཝི་དྱ། ཤཔྡ་པྲ་ཏཱིཙྪ་སྭཱ་ཧཱ།	ཨོཾ་ཨཱརྻ་ཏཱ་རེ་ས་པ་རི་ཝཱ་ར་བཛྲ་ཨརྒྷཾ་སོགས་སྔགས་ཙམ་གྱིས་མཆོད།
